competition_id,season_id,country_name,competition_name,competition_gender,competition_youth,competition_international,season_name,match_updated,match_updated_360,match_available_360,match_available
9,281,Germany,1. Bundesliga,male,False,False,2023/2024,2024-09-28T20:46:38.893391,2025-07-06T04:26:07.636270,2025-07-06T04:26:07.636270,2024-09-28T20:46:38.893391
9,27,Germany,1. Bundesliga,male,False,False,2015/2016,2024-05-19T11:11:14.192381,,,2024-05-19T11:11:14.192381
1267,107,Africa,African Cup of Nations,male,False,True,2023,2024-09-28T01:57:35.846538,,,2024-09-28T01:57:35.846538
16,4,Europe,Champions League,male,False,False,2018/2019,2025-05-08T15:10:50.835274,2021-06-13T16:17:31.694,,2025-05-08T15:10:50.835274
16,1,Europe,Champions League,male,False,False,2017/2018,2024-02-13T02:35:28.134882,2021-06-13T16:17:31.694,,2024-02-13T02:35:28.134882
16,2,Europe,Champions League,male,False,False,2016/2017,2024-02-13T02:37:32.205154,2021-06-13T16:17:31.694,,2024-02-13T02:37:32.205154
16,27,Europe,Champions League,male,False,False,2015/2016,2024-06-12T07:45:38.786894,2021-06-13T16:17:31.694,,2024-06-12T07:45:38.786894
16,26,Europe,Champions League,male,False,False,2014/2015,2024-02-12T12:49:54.914228,2021-06-13T16:17:31.694,,2024-02-12T12:49:54.914228
16,25,Europe,Champions League,male,False,False,2013/2014,2024-02-12T12:48:48.479157,2021-06-13T16:17:31.694,,2024-02-12T12:48:48.479157
16,24,Europe,Champions League,male,False,False,2012/2013,2024-02-12T12:47:34.340413,2021-06-13T16:17:31.694,,2024-02-12T12:47:34.340413
16,23,Europe,Champions League,male,False,False,2011/2012,2024-02-13T02:36:35.698340,2021-06-13T16:17:31.694,,2024-02-13T02:36:35.698340
16,22,Europe,Champions League,male,False,False,2010/2011,2024-02-12T12:53:03.944320,2021-06-13T16:17:31.694,,2024-02-12T12:53:03.944320
16,21,Europe,Champions League,male,False,False,2009/2010,2024-02-12T12:49:25.017694,2021-06-13T16:17:31.694,,2024-02-12T12:49:25.017694
16,41,Europe,Champions League,male,False,False,2008/2009,2024-02-13T07:02:54.657056,2021-06-13T16:17:31.694,,2024-02-13T07:02:54.657056
16,39,Europe,Champions League,male,False,False,2006/2007,2024-02-12T13:48:23.967222,2021-06-13T16:17:31.694,,2024-02-12T13:48:23.967222
16,37,Europe,Champions League,male,False,False,2004/2005,2025-06-24T09:44:09.039471,2021-06-13T16:17:31.694,,2025-06-24T09:44:09.039471
16,44,Europe,Champions League,male,False,False,2003/2004,2025-06-24T13:57:37.321382,2021-06-13T16:17:31.694,,2025-06-24T13:57:37.321382
16,76,Europe,Champions League,male,False,False,1999/2000,2025-06-23T12:34:36.649637,2021-06-13T16:17:31.694,,2025-06-23T12:34:36.649637
16,277,Europe,Champions League,male,False,False,1972/1973,2024-02-13T14:25:16.532771,,,2024-02-13T14:25:16.532771
16,71,Europe,Champions League,male,False,False,1971/1972,2024-02-12T14:25:01.735880,2021-06-13T16:17:31.694,,2024-02-12T14:25:01.735880
16,276,Europe,Champions League,male,False,False,1970/1971,2024-02-13T14:24:12.213582,,,2024-02-13T14:24:12.213582
223,282,South America,Copa America,male,False,True,2024,2024-11-04T16:15:34.886972,,,2024-11-04T16:15:34.886972
87,84,Spain,Copa del Rey,male,False,False,1983/1984,2024-02-13T01:54:12.946985,2021-06-13T16:17:31.694,,2024-02-13T01:54:12.946985
87,268,Spain,Copa del Rey,male,False,False,1982/1983,2024-02-13T14:19:57.954551,,,2024-02-13T14:19:57.954551
87,279,Spain,Copa del Rey,male,False,False,1977/1978,2024-02-13T14:26:19.978418,,,2024-02-13T14:26:19.978418
37,90,England,FA Women's Super League,female,False,False,2020/2021,2025-04-23T14:16:46.924831,2021-06-13T16:17:31.694,,2025-04-23T14:16:46.924831
37,42,England,FA Women's Super League,female,False,False,2019/2020,2024-02-12T15:05:34.211400,2021-06-13T16:17:31.694,,2024-02-12T15:05:34.211400
37,4,England,FA Women's Super League,female,False,False,2018/2019,2024-08-07T17:22:40.334287,2021-06-13T16:17:31.694,,2024-08-07T17:22:40.334287
1470,274,International,FIFA U20 World Cup,male,True,True,1979,2024-02-13T14:20:59.825440,,,2024-02-13T14:20:59.825440
43,106,International,FIFA World Cup,male,False,True,2022,2024-12-16T10:15:11.055845,2024-12-16T10:21:13.710934,2024-12-16T10:21:13.710934,2024-12-16T10:15:11.055845
43,3,International,FIFA World Cup,male,False,True,2018,2024-06-12T07:38:19.345758,2021-06-13T16:17:31.694,,2024-06-12T07:38:19.345758
43,55,International,FIFA World Cup,male,False,True,1990,2023-06-28T10:58:20.137929,2021-06-12T16:17:31.694,,2023-06-28T10:58:20.137929
43,54,International,FIFA World Cup,male,False,True,1986,2023-12-26T22:34:04.263530,2021-06-13T16:17:31.694,,2023-12-26T22:34:04.263530
43,51,International,FIFA World Cup,male,False,True,1974,2024-02-13T02:52:29.582599,2021-06-13T16:17:31.694,,2024-02-13T02:52:29.582599
43,272,International,FIFA World Cup,male,False,True,1970,2024-02-13T14:23:06.735299,,,2024-02-13T14:23:06.735299
43,270,International,FIFA World Cup,male,False,True,1962,2023-06-26T10:38:00.323984,,,2023-06-26T10:38:00.323984
43,269,International,FIFA World Cup,male,False,True,1958,2024-02-13T14:22:08.222297,,,2024-02-13T14:22:08.222297
1238,108,India,Indian Super league,male,False,False,2021/2022,2024-09-29T17:46:01.175308,,,2024-09-29T17:46:01.175308
11,90,Spain,La Liga,male,False,False,2020/2021,2025-01-29T17:39:28.924386,2025-01-29T18:09:18.620699,2025-01-29T18:09:18.620699,2025-01-29T17:39:28.924386
11,42,Spain,La Liga,male,False,False,2019/2020,2024-12-16T16:51:06.833054,2021-06-13T16:17:31.694,,2024-12-16T16:51:06.833054
11,4,Spain,La Liga,male,False,False,2018/2019,2024-09-22T18:50:23.364757,2021-07-09T14:53:22.103024,,2024-09-22T18:50:23.364757
11,1,Spain,La Liga,male,False,False,2017/2018,2025-07-14T10:01:16.674864,2021-06-13T16:17:31.694,,2025-07-14T10:01:16.674864
11,2,Spain,La Liga,male,False,False,2016/2017,2025-03-09T16:03:54.962718,2021-06-13T16:17:31.694,,2025-03-09T16:03:54.962718
11,27,Spain,La Liga,male,False,False,2015/2016,2025-04-23T13:59:22.835792,2021-06-13T16:17:31.694,,2025-04-23T13:59:22.835792
11,26,Spain,La Liga,male,False,False,2014/2015,2025-06-24T13:39:01.068680,2021-06-13T16:17:31.694,,2025-06-24T13:39:01.068680
11,25,Spain,La Liga,male,False,False,2013/2014,2025-06-24T09:52:44.048585,2021-06-13T16:17:31.694,,2025-06-24T09:52:44.048585
11,24,Spain,La Liga,male,False,False,2012/2013,2025-06-24T13:53:14.047130,2021-06-13T16:17:31.694,,2025-06-24T13:53:14.047130
11,23,Spain,La Liga,male,False,False,2011/2012,2025-06-24T13:38:10.764259,2021-06-13T16:17:31.694,,2025-06-24T13:38:10.764259
11,22,Spain,La Liga,male,False,False,2010/2011,2025-06-24T13:51:54.910296,2021-06-13T16:17:31.694,,2025-06-24T13:51:54.910296
11,21,Spain,La Liga,male,False,False,2009/2010,2025-06-24T13:43:36.379754,2021-06-13T16:17:31.694,,2025-06-24T13:43:36.379754
11,41,Spain,La Liga,male,False,False,2008/2009,2025-06-24T13:52:04.679206,2021-06-13T16:17:31.694,,2025-06-24T13:52:04.679206
11,40,Spain,La Liga,male,False,False,2007/2008,2025-06-24T13:47:07.137835,2021-06-13T16:17:31.694,,2025-06-24T13:47:07.137835
11,39,Spain,La Liga,male,False,False,2006/2007,2025-06-24T13:52:50.824119,2021-06-13T16:17:31.694,,2025-06-24T13:52:50.824119
11,38,Spain,La Liga,male,False,False,2005/2006,2025-06-24T14:05:07.849675,2021-06-13T16:17:31.694,,2025-06-24T14:05:07.849675
11,37,Spain,La Liga,male,False,False,2004/2005,2025-06-24T13:48:43.998096,2021-06-13T16:17:31.694,,2025-06-24T13:48:43.998096
11,278,Spain,La Liga,male,False,False,1973/1974,2023-07-06T12:50:48.807820,,,2023-07-06T12:50:48.807820
81,48,Argentina,Liga Profesional,male,False,False,1997/1998,2023-06-28T11:19:54.593488,,,2023-06-28T11:19:54.593488
81,275,Argentina,Liga Profesional,male,False,False,1981,2023-12-05T14:19:40.272816,,,2023-12-05T14:19:40.272816
7,235,France,Ligue 1,male,False,False,2022/2023,2024-12-19T13:56:45.683863,2025-06-30T02:31:32.046070,2025-06-30T02:31:32.046070,2024-12-19T13:56:45.683863
7,108,France,Ligue 1,male,False,False,2021/2022,2025-06-15T12:56:15.594872,2025-06-15T13:02:45.341609,2025-06-15T13:02:45.341609,2025-06-15T12:56:15.594872
7,27,France,Ligue 1,male,False,False,2015/2016,2024-12-16T08:48:23.066123,,,2024-12-16T08:48:23.066123
44,107,United States of America,Major League Soccer,male,False,False,2023,2025-06-15T12:48:12.599307,2025-07-01T11:17:29.514495,2025-07-01T11:17:29.514495,2025-06-15T12:48:12.599307
116,68,North and Central America,North American League,male,False,False,1977,2025-02-20T11:41:45.243252,2021-06-13T16:17:31.694,,2025-02-20T11:41:45.243252
49,3,United States of America,NWSL,female,False,False,2018,2024-12-15T12:31:48.035735,2021-06-13T16:17:31.694,,2024-12-15T12:31:48.035735
2,27,England,Premier League,male,False,False,2015/2016,2025-04-23T14:36:29.347042,2021-06-13T16:17:31.694,,2025-04-23T14:36:29.347042
2,44,England,Premier League,male,False,False,2003/2004,2025-06-24T13:53:07.585114,2021-06-13T16:17:31.694,,2025-06-24T13:53:07.585114
12,27,Italy,Serie A,male,False,False,2015/2016,2025-07-21T05:01:00.434081,,,2025-07-21T05:01:00.434081
12,86,Italy,Serie A,male,False,False,1986/1987,2023-06-18T01:55:53.343752,,,2023-06-18T01:55:53.343752
55,282,Europe,UEFA Euro,male,False,True,2024,2024-09-28T16:51:20.698794,2025-03-24T14:12:30.785094,2025-03-24T14:12:30.785094,2024-09-28T16:51:20.698794
55,43,Europe,UEFA Euro,male,False,True,2020,2024-07-31T12:29:15.702309,2024-07-31T12:30:57.587087,2024-07-31T12:30:57.587087,2024-07-31T12:29:15.702309
35,75,Europe,UEFA Europa League,male,False,False,1988/1989,2024-02-12T14:45:05.702250,2021-06-13T16:17:31.694,,2024-02-12T14:45:05.702250
53,315,Europe,UEFA Women's Euro,female,False,True,2025,2025-07-28T14:19:20.467348,2025-07-29T16:03:07.355174,2025-07-29T16:03:07.355174,2025-07-28T14:19:20.467348
53,106,Europe,UEFA Women's Euro,female,False,True,2022,2024-02-13T13:27:17.178263,2024-02-13T13:30:52.820588,2024-02-13T13:30:52.820588,2024-02-13T13:27:17.178263
72,107,International,Women's World Cup,female,False,True,2023,2025-07-14T10:07:06.620906,2025-07-14T10:10:27.224586,2025-07-14T10:10:27.224586,2025-07-14T10:07:06.620906
72,30,International,Women's World Cup,female,False,True,2019,2024-08-08T15:57:56.748740,2021-06-13T16:17:31.694,,2024-08-08T15:57:56.748740
